Unnamed: 0,post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,address,lat,lon,title,descr,details,zipcode
1,4600614344,20140803,2014,alamo square,san francisco,san francisco,1075,1,,1000,0,,,,Cute place available right away,"Open floor plan design, family/rec room, cost saving refrigerator, and spacious dining room are featured.Is settled in a wonderful community. Property is awaiting your arrival and includes Newly renovated kitchen. Reply to ~ susan1815 @ rentals55 . c0m ~  for details.This property offers every thing you need:* Pantry* DirectTV ready* Full size garage* Quiet views and scenery* Hardwood floors* Economic washer and dryer* Newer stainless steel appliances* External patio storage","1BR / 1Ba 1000ft2 apartment  date=""2014-08-09"" today_msg=""available now"">available aug 09<br/>w/d hookups detached garage</p>",94117
2,6477765428,20180201,2018,alamo square,san francisco,san francisco,2995,1,1,,0,2795,37.329219,-121.895821,Bright &amp; Spacious 1 Bed/1bth apt.-Showing 2/3 at 11:00-11:30 am,"Apartment walking distance to VTA Light Rail, Caltrain Station, Bus, and Downtown San Jose.Near Highway 87, off of Park Ave.  Dine-in kitchen, living room, full bathroom, and one bedroom.  Approximately 500 s.f.  Quiet upstairs unit, ideal for one person.  Kitchen features gas stove with oven, hood, and refrigerator. Includes wall heating, coin-operated laundry on-site, and 1 carport space.   Rent: $1,895.00/monthRent includes water, garbage & landscapeSecurity Deposit: $1,895.00Application Fee: $30.00No Pets and No Smoking AllowedDeposits subject to Credit & Income qualifications, and background check.FOR MORE INFORMATION please email me with your phone number so I can get back to you or call  show contact info.","<p class=""attrgroup"">""shared-line-bubble"">1BR / 1Ba""shared-line-bubble"">500ft2""housing_movein_now property_date shared-line-bubble"" data-date=""2018-02-01"" data-today_msg=""available now"">available feb 1</p>",Not in SF
3,5079497435,20150623,2015,alamo square,san francisco,san francisco,1995,0,,,0,,37.775454,-122.431123,Updated Studio Available NOW!,"659 Fillmore #7Good size studio featuring hardwood floors, updated kitchen with new cabinets, countertops, floors and there is a large closet. This apartment is available now. Water and garbage are included.  There is no parking. One cat is OK, and laundry is nearby. To view, come by our office at 714 Van Ness @ Turk, M-F, 8:00AM - 3:30PM and check out the keys. Note: there is a $40 cash, refundable key deposit.This is a non-smoking apartment.","0BR / 1Ba  date=""2016-06-17"" today_msg=""available now"">available jun 17</p>",94117
4,4696142914,20141012,2014,alamo square,san francisco,san francisco,4195,2,2,,0,1603,37.777245,-122.429881,Amazing Two bedroom in Alamo Sq/Hayes Valley,"2 bedroom, 2 full bath apartment is in a fantastic location central to Hayes Valley and Alamo Square. Only a few blocks to Divisadero shopping and Japantown as well. Minutes to freeway and Civic Center. Google and Apple shuttles only a couple blocks away!Updated kitchen with stainless steel appliances and large bedrooms on opposite sides of apartment. Amenities include:""Walkabiliy"" score of 91 = ""Walker's Paradise""""Transit"" score of 99 = ""Rider's Paradise""Hardwood floorsStainless Steel AppliancesDishwasher/garbage disposalElevated ceilingsFireplacePantry Please contact David to schedule a showing time. David AlexanderGaetani Real Estate, Incshow contact infoshow contact infophoneDRE License #: 01906535SF Required Smoking Disclosure: This is a non-smoking apartment and apartment building.","2BR / 2Ba apartment  date=""2015-10-02"" today_msg=""available now"">available oct 02<br/>cats are OK - purrr dogs are OK - wooof</p>",94117
5,5955679408,20170112,2017,alamo square,san francisco,san francisco,3895,2,,,0,2644,37.778472,-122.440517,Divisadero Street-Adjacent for Plenty to Keep You Entertained,"Divisadero Street-Adjacent for Plenty to Keep You Entertained$3,895 | 1819 Golden Gate Avenue, San Francisco, CA 94115This is a pet-friendly 2 bedroomIconic charm. Modern living. At RentSFNow, we pride ourselves on our network of lovingly restored classic buildings throughout San Francisco. Fill out just one application to unlock our extensive inventory of thoroughly renovated apartments in the city's most storied neighborhoods. We are customer service overachievers who consistently go above and beyond. At RentSFNow, we will find you a place to thrive, not just live.PETSDogs WelcomeCats WelcomePets (under 40lbs & no aggressive breeds) allowed at Resident Managers discretionCOMMUNITYHigh Speed InternetPublic TransportationRecyclingAPARTMENT AMENITIESCable ReadyDishwasherEfficient AppliancesGas RangeHardwood FloorsRefrigeratorWasher/DryerWindow CoveringsLEASE TERMS12 Month LeaseFor your application to be processed, you must see the unit in person with one of our agentsAll applications are transferable and only one application for all the RentSFNow apartments is requiredRESOURCESCall  연락처 정보 표시to speak to a Leasing ConsultantOr email us with the following information: name, phone number, estimated move-in date, and pets (yes or no)For more details and to apply, visit 1819goldengate.comFor other available apartments, visit www.RentSFNow.comAnd don't forget to connect with us on social media:- Facebook.com/RentSFNow- Instagram.com/RentSFNow- Pinterest.com/RentSFNow- Twitter.com/RentSFNow- YouTube.com/RentSFNow-TVWe are an Equal Opportunity Housing Provider and follow all fair housing laws (U.S. Housing and Urban Development, www.hud.gov)연락처 정보 표시| RentSFNow (Office: 600 California Street, 19th Floor, San Francisco, CA 94108)","2BR / 1Ba data-date=""2017-01-11"" data-today_msg=""지금 가능"">가능 1월 11</p>",94115
6,5291718271,20151113,2015,alamo square,san francisco,san francisco,7900,4,1,1700,0,2353,37.775749,-122.431865,Old World Charm in an Unbeatable Location,"The thing you want about this apartment is the location. Oh, it has other positive traits to be sure - an excellent floor plan, good number of bathrooms per bedroom, beautiful Victorian accents, etc., etc. but none of that stands up to the location in the heart of SF. You're half a block from Alamo Square, around the corner from the Painted Ladies, a block from the Church of Eight Wheels, and just down the street from Patxi's (to name a few of my personal favorites.)I know that's the traditional three most important things but for the sake of completeness, here's the full list of selling points:*a roomy 1700 square feet*3 baths featuring granite top vanities (one with tub shower combo & one with walk in shower)*original ornamental bay window in front rooms*beautiful Victorian accents throughout*new stain resistant carpet*kitchen features black granite counters *stainless steel appliances (dishwasher, gas range and refrigerator)*4 large bedrooms *large storage room*secure intercom at front door*central gas heating*covered private patio*access to shared back yard *laundry in the basement*1/2 block from beautiful Alamo Square*walkable to 3 bustling commercial districts: Height, Hayes Valley, and the popular Fillmore Corridor*great location near restaurants, and shopping* walking distance to at least 10 Muni lines*15 min commute by bus (one bus, no transfer) to Civic Center BartSecurity deposit will be one month's rent. Total move in cost is first month's rent and security deposit (rent is prorated if the move-in date warrants it.)The first step for potential applicants is to respond to this ad via email. That will get you a form letter with the full paperwork/application process explanation and start the conversation as to when we can schedule a viewing of the apartment.Video Tour- https://www.youtube.com/watch?v=oDBeXmtQCnw&feature;=youtu.be","4BR / 3Ba 1700ft2  date=""2015-11-05"" today_msg=""available now"">available nov 05</p>",94117
7,5333508817,20151127,2015,alamo square,san francisco,san francisco,10425,6,1,,0,,37.773212,-122.444216,,"San Francisco - North of the Panhandle - Home for rentCompletely restored Victorian - short term furnished rental! Link to mobile layout:   http://www.jwavro.com/rental_details.php?id=3309257-0Summary:Rent: $10425Bed / Bath: 6 / 3.5Type: HomeTerm: MonthlyPlease contact:Joanne Fazzino   |  iletşm bil göster  |    iletşm bil göster  |   www.jwavro.comDescription:This is a phenomenal restored Victorian - down to the studs!Available for short term furnished occupancy, this beautiful property is fully furnished and accessorized.This 3 level home with 6 bedrooms and 3.5 bathrooms has 3 fireplaces and radiant heating with 10 zones.It has a ""Country Inn"" feel with Victorian period charm - high ceilings and striped hardwood floors.The gourmet kitchen has granite counters and stainless steel appliances including a Subzero refrigerator and gas range. The first level is all common area with a formal living room, formal dining room, eat in kitchen and a powder room.The second floor has 3 bedrooms (including a master suite) and 2 bathrooms.The 3rd level has 3 bedrooms (one of which is used as an office) and 1 bathroom. Laundry is on the 2nd level.  There is a large deck with a barbecue as well. The Panhandle of Golden Gate Park is across the street. NOPA is full of restaurants, bars and organic grocery stores, including Bi-Rite.Plenty of buses and shuttle stops close by. Enjoy the true San Francisco experience in this beautifully restored Victorian.Monthly housekeeping included. Available now. Term flexible. Utilities will be negotiated based on the length of the term. This is a non-smoking unit.  Details:Floors: HardwoodKitchen: GourmetLaundry: In UnitOutside area: DeckParking: StreetParking Fee: $0Pets: NoView: CityLocation:Fell Street & Central Avenue, San Francisco, California J.Wavro is a No Fee Broker Find all J.Wavro listings on Craigslist:List View   -   http://sfbay.craigslist.org/search/hhh?zoomToPosting=&query;=01810008Map View -   http://sfbay.craigslist.org/search/apa?useMap=1&zoomToPosting;=&query;=01810008Meet the J.Wavro Team:http://www.jwavro.com/us.phpPlease contact:Joanne Fazzino   |  iletşm bil göster  |  iletşm bil göster  |   www.jwavro.comPreview more properties at www.jwavro.comContent and Images © 2014 J.Wavro   |   BRE # 01810008   |   cl389279209847-0","6BR / 3.5Ba  date=""2015-11-26"" today_msg=""şimdi kul."">kullanılblr kas 26</p>",94117
8,4667266907,20140914,2014,alamo square,san francisco,san francisco,1475,3,2,1450,0,,,,Place in San Francisco open right away!,"Ready for  move in. Please email us at ~ sarah68622 @ propertysearch00 . c0m ~  for an application.*Short walk from local dining, schools, and parks*practically new lighting and fixtures*Refrigerator*Spacious bedroom floorplans*Spacious closets*Lots of natural light* floor plan design*Gas stove top*Cost saving kitchen appliances*Home alarm system*Linen closet*Combination freezer and fridge*Satellite TV readyTo apply or for more information, please email ~ sarah68622 @ propertysearch00 . c0m ~ .. Lovely and spacious 3 bed / 2 bath  unit boasts, 3 bedroom 2 bathrooms, energy efficient dishwasher, economic washer and dryer and modern kitchen that was newly remodeled.Expansive floor plan design, large living room and bedrooms, room for storage and .Open dining areaLots of storagePersonal patio or balcony floor plan designElectric range and ovenCost saving microwaveHome alarm systemNeutral colors and new carpeting throughoutGarageOnly a couple blocks from entertainment, dining, schools, and public transportationRe-surfaced counter-topsEnergy efficient freezer and fridgeGarbage disposal in sinkAir conditioning3 bedroom 2 bathroomSpacious bathrooms and ample kitchen layoutStacked dryer and washer comboQuick access to highways and freewaysEnergy efficient dishwasherFor additional information please email ~ sarah68622 @ propertysearch00 . c0m ~  and we will respond as soon as we can. Thank you for looking.","3BR / 2Ba 1450ft2 apartment  date=""2014-09-21"" today_msg=""available now"">available sep 21<br/>w/d hookups detached garage</p>",94117
9,5965643329,20170119,2017,alamo square,san francisco,san francisco,3895,2,,,0,2644,37.778472,-122.440517,Walks with Your Dog to Alamo Square Park can Be a Regular Thing,"Walks with Your Dog to Alamo Square Park can Be a Regular Thing$3,895 | 1819 Golden Gate Avenue, San Francisco, CA 94115PETSDogs WelcomeCats WelcomePets (under 40lbs & no aggressive breeds) allowed at Resident Managers discretionCOMMUNITYHigh Speed InternetPublic TransportationRecyclingAPARTMENT AMENITIESCable ReadyDishwasherEfficient AppliancesGas RangeHardwood FloorsRefrigeratorWasher/DryerWindow CoveringsLEASE TERMS12 Month LeaseFor your application to be processed, you must see the unit in person with one of our agentsAll applications are transferable and only one application for all the RentSFNow apartments is requiredRESOURCESCall  연락처 정보 표시to speak to a Leasing ConsultantOr email us with the following information: name, phone number, estimated move-in date, and pets (yes or no)For other available apartments, visit www.RentSFNow.com/rental/?clAnd don't forget to connect with us on social media:- Facebook.com/RentSFNow- Instagram.com/RentSFNow- Pinterest.com/RentSFNow- Twitter.com/RentSFNow- YouTube.com/RentSFNow-TVWe are an Equal Opportunity Housing Provider and follow all fair housing laws (U.S. Housing and Urban Development, www.hud.gov)연락처 정보 표시| RentSFNow (Office: 600 California Street, 19th Floor, San Francisco, CA 94108)","2BR / 1Ba data-date=""2017-01-18"" data-today_msg=""지금 가능"">가능 1월 18</p>",94115
10,5985909428,20170202,2017,alamo square,san francisco,san francisco,3145,1,,700,0,2747,37.772699,-122.435739,ONE BEDROOM,"A Beautiful bright great shape one bedroom apartment for rent, has a dishwasher, garbage disposal, located on Scott st one block from Divisadero st corridor, the apartment located on the second story in the back of the building it is very bright, comfortable and quit it will be available feb7th  FOR $3145.00 Call Sameer 연락처 정보 표시","1BR / 1Ba700ft2 data-date=""2017-02-07"" data-today_msg=""지금 가능"">가능 2월 7</p>",94117
